frente_m,log_area,area_const_m2,pendiente_grados,predio_join
False,False,False,False,82937
False,False,False,False,82998
False,False,False,False,83298
False,False,False,False,83305
False,False,False,False,83534
False,False,False,False,83754
False,False,False,False,83778
False,False,False,False,83799
False,False,False,False,83855
False,False,False,False,83911
False,False,False,False,85228
False,False,False,False,85316
False,False,False,False,85540
False,False,False,False,85550
False,False,False,False,85587
False,False,False,False,85637
False,False,False,False,85794
False,False,False,False,85887
False,False,False,False,85992
False,False,False,False,86145
False,False,False,False,86153
False,False,False,False,86464
False,False,False,False,86466
False,False,False,False,86544
False,False,False,False,86708
False,False,False,False,86756
False,False,False,False,86934
False,False,False,False,86938
False,False,False,False,86965
False,False,False,False,86981
False,False,False,False,87104
False,False,False,False,87288
False,False,False,False,87447
False,False,False,False,87466
False,False,False,False,87517
False,False,False,False,87674
False,False,False,False,88046
False,False,False,False,88708
False,False,False,False,88847
False,False,False,False,88850
False,False,False,False,89022
False,False,False,False,89612
False,False,False,False,89712
False,False,False,False,89745
False,False,False,False,89785
False,False,False,False,89834
False,False,False,False,89903
True,True,True,False,90148
False,False,False,False,90161
False,False,False,False,90234
False,False,False,False,90744
False,False,False,False,90989
False,False,False,False,91094
False,False,False,False,91487
False,False,False,False,91662
False,False,False,False,91779
False,False,False,False,91998
False,False,False,False,92096
False,False,False,False,92141
False,False,False,False,92241
False,False,False,False,92418
False,False,False,False,92567
False,False,False,False,92605
True,True,True,False,92627
False,False,False,False,92688
False,False,False,False,92773
False,False,False,False,92961
False,False,False,False,93297
False,False,False,False,93304
False,False,False,False,93343
False,False,False,False,93447
False,False,False,False,93582
False,False,False,False,93787
False,False,False,False,93841
False,False,False,False,93879
False,False,False,False,94016
False,False,False,False,94348
False,False,False,False,94514
False,False,False,False,94682
False,False,False,False,94717
False,False,False,False,94776
False,False,False,False,94835
False,False,False,False,94892
False,False,False,False,94893
False,False,False,False,94911
False,False,False,False,94957
False,False,False,False,94996
False,False,False,False,95137
False,False,False,False,95216
False,False,False,False,95312
False,False,False,False,95434
False,False,False,False,95475
False,False,False,False,95507
False,False,False,False,95654
False,False,False,False,95702
False,False,False,False,95734
False,False,False,False,95823
False,False,False,False,96031
False,False,False,False,96037
False,False,False,False,96054
False,False,False,False,96200
False,False,False,False,96254
False,False,False,False,96544
False,False,False,False,96891
False,False,False,False,97417
False,False,False,False,98185
False,False,False,False,98325
False,False,False,False,98340
False,False,False,False,98451
False,False,False,False,98938
False,False,False,False,99008
False,False,False,False,99022
False,False,False,False,99031
False,False,False,False,99117
False,False,False,False,99539
False,False,False,False,100506
False,False,False,False,101128
False,False,False,False,101194
False,False,False,False,101368
False,False,False,False,101617
False,False,False,False,101644
False,False,False,False,102181
False,False,False,False,102253
False,False,False,False,102256
False,False,False,False,102330
False,False,False,False,102340
